,0,1,accuracy,macro avg,weighted avg
precision,0.9667590027700831,0.985209003215434,0.9817327766179541,0.9759840029927586,0.9816268528158147
recall,0.9381720430107527,0.9922279792746114,0.9817327766179541,0.9652000111426821,0.9817327766179541
f1-score,0.9522510231923602,0.9887060342045821,0.9817327766179541,0.9704785286984712,0.9816281301875954
support,372.0,1544.0,0.9817327766179541,1916.0,1916.0
