,0,1,accuracy,macro avg,weighted avg
precision,0.9915254237288136,0.9923175416133163,0.9921711899791231,0.991921482671065,0.9921674691748641
recall,0.9669421487603306,0.9980682549903412,0.9921711899791231,0.982505201875336,0.9921711899791231
f1-score,0.9790794979079498,0.9951845906902087,0.9921711899791231,0.9871320442990792,0.9921333648655949
support,363.0,1553.0,0.9921711899791231,1916.0,1916.0
