,0,1,accuracy,macro avg,weighted avg
precision,0.989041095890411,0.9929078014184397,0.9921711899791231,0.9909744486544254,0.9921570631843966
recall,0.9704301075268817,0.9974093264248705,0.9921711899791231,0.9839197169758761,0.9921711899791231
f1-score,0.9796472184531886,0.9951534733441034,0.9921711899791231,0.987400345898646,0.9921428643569321
support,372.0,1544.0,0.9921711899791231,1916.0,1916.0
