,0,1,accuracy,macro avg,weighted avg
precision,0.9752747252747253,0.9890463917525774,0.9864300626304802,0.9821605585136512,0.986372560891533
recall,0.9543010752688172,0.9941709844559585,0.9864300626304802,0.9742360298623879,0.9864300626304802
f1-score,0.9646739130434783,0.9916020671834626,0.9864300626304802,0.9781379901134704,0.986373845189687
support,372.0,1544.0,0.9864300626304802,1916.0,1916.0
