,0,1,accuracy,macro avg,weighted avg
precision,0.9649595687331537,0.9967637540453075,0.9906054279749478,0.9808616613892306,0.9907382220681092
recall,0.9862258953168044,0.9916291049581455,0.9906054279749478,0.9889275001374749,0.9906054279749478
f1-score,0.9754768392370572,0.9941897998708844,0.9906054279749478,0.9848333195539708,0.9906444946986093
support,363.0,1553.0,0.9906054279749478,1916.0,1916.0
